fixed_scale,model,bayes_factor
0.00,Model 2,1.000
0.10,Model 2,1.478
0.20,Model 2,2.028
0.30,Model 2,2.811
0.40,Model 2,3.454
0.50,Model 2,4.097
0.60,Model 2,4.752
0.70,Model 2,5.421
0.80,Model 2,6.100
0.90,Model 2,6.789
1.00,Model 2,7.485
1.10,Model 2,8.185
1.20,Model 2,8.888
1.30,Model 2,9.594
1.40,Model 2,10.301
1.50,Model 2,11.010
0.00,Model 3,1.000
0.10,Model 3,1.649
0.20,Model 3,2.740
0.30,Model 3,4.568
0.40,Model 3,6.645
0.50,Model 3,9.173
0.60,Model 3,12.196
0.70,Model 3,15.733
0.80,Model 3,19.794
0.90,Model 3,24.384
1.00,Model 3,29.505
1.10,Model 3,35.156
1.20,Model 3,41.335
1.30,Model 3,48.041
1.40,Model 3,55.273
1.50,Model 3,63.031
